               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038468,            0.010519,           0.0085326,             0.95281,             0.93081,             0.94182,             0.51341,            0.035625,           0.0076301,            0.005349,             0.00769,             0.00769,             0.00769
                  37,            0.039932,            0.010774,           0.0069851,             0.94984,              0.8959,             0.95262,             0.49158,            0.032549,           0.0075209,           0.0046117,            0.007624,            0.007624,            0.007624
                  38,            0.040166,            0.010884,           0.0087271,             0.94029,             0.91722,             0.93509,             0.48877,            0.036726,           0.0076121,           0.0043648,            0.007558,            0.007558,            0.007558
                  39,            0.039716,            0.010358,           0.0071768,             0.95385,             0.88593,             0.93984,             0.49974,            0.033613,           0.0075577,           0.0042104,            0.007492,            0.007492,            0.007492
                  40,            0.039228,            0.010691,           0.0072692,             0.94799,             0.89769,             0.94295,             0.48128,            0.035656,           0.0074886,           0.0043493,            0.007426,            0.007426,            0.007426
                  41,            0.039614,            0.010706,           0.0080831,             0.94395,             0.87751,             0.92335,             0.47799,            0.036777,           0.0074427,           0.0043433,             0.00736,             0.00736,             0.00736
                  42,            0.038269,            0.010428,           0.0069426,             0.94702,             0.93527,             0.95599,             0.49662,            0.039228,           0.0075145,           0.0042445,            0.007294,            0.007294,            0.007294
                  43,            0.038663,            0.011139,           0.0069815,             0.92873,              0.9256,             0.93487,             0.48486,            0.034971,           0.0078575,           0.0044609,            0.007228,            0.007228,            0.007228
                  44,            0.037402,            0.010358,            0.006026,             0.92902,              0.9461,             0.94973,             0.49647,            0.034304,           0.0074832,           0.0039753,            0.007162,            0.007162,            0.007162
                  45,            0.039073,            0.010333,           0.0068166,             0.91766,             0.93266,             0.94737,              0.5232,            0.032901,           0.0074384,           0.0040788,            0.007096,            0.007096,            0.007096
                  46,            0.037804,            0.010635,           0.0069688,             0.94194,             0.95127,             0.95936,             0.46207,            0.033243,           0.0075295,            0.004297,             0.00703,             0.00703,             0.00703
                  47,            0.036652,            0.010293,           0.0071626,             0.94748,             0.91444,             0.94935,             0.51226,            0.030879,           0.0075715,           0.0039244,            0.006964,            0.006964,            0.006964
                  48,            0.037182,            0.010198,           0.0060939,             0.93387,             0.90901,             0.92883,              0.5154,            0.035377,           0.0074286,           0.0035425,            0.006898,            0.006898,            0.006898
                  49,             0.03759,            0.010859,           0.0055333,             0.94826,             0.88763,             0.94292,             0.49204,            0.040715,           0.0073666,           0.0035298,            0.006832,            0.006832,            0.006832
                  50,            0.038146,            0.010425,           0.0059066,             0.93875,             0.91681,             0.94779,             0.51573,            0.040982,           0.0073393,           0.0037369,            0.006766,            0.006766,            0.006766
                  51,            0.037723,            0.010059,           0.0057763,             0.92518,             0.93172,             0.94425,             0.48987,             0.03174,           0.0073756,           0.0039032,              0.0067,              0.0067,              0.0067
                  52,            0.035387,           0.0090345,           0.0061847,             0.94139,             0.93156,             0.95496,             0.51159,            0.033233,           0.0074611,           0.0037034,            0.006634,            0.006634,            0.006634
                  53,            0.037125,            0.010275,           0.0056286,             0.93188,             0.92804,              0.9499,             0.51048,            0.034384,           0.0074346,           0.0037941,            0.006568,            0.006568,            0.006568
                  54,            0.037187,           0.0096676,           0.0057567,             0.94798,             0.92894,             0.94346,             0.50599,            0.032022,           0.0075223,           0.0042478,            0.006502,            0.006502,            0.006502
                  55,            0.036436,           0.0097769,           0.0060009,             0.93077,             0.91158,             0.93353,             0.48189,            0.031961,           0.0077529,           0.0045403,            0.006436,            0.006436,            0.006436
                  56,            0.034522,            0.009997,           0.0052202,             0.95711,             0.94894,             0.96257,             0.50368,            0.031651,           0.0075703,           0.0038954,             0.00637,             0.00637,             0.00637
                  57,            0.035209,            0.009881,           0.0050823,             0.89004,             0.94178,             0.94669,             0.50268,            0.032137,           0.0075012,           0.0036405,            0.006304,            0.006304,            0.006304
                  58,            0.034757,           0.0099608,           0.0049502,             0.92684,             0.92498,             0.93412,             0.50236,            0.034169,           0.0073283,             0.00346,            0.006238,            0.006238,            0.006238
                  59,            0.038191,           0.0094698,           0.0053312,             0.93274,             0.93367,             0.93167,             0.51273,            0.034123,           0.0073753,           0.0037479,            0.006172,            0.006172,            0.006172
